Available,Cost,Event name,Category,Organizer,Date,Time,Location,Photo,Summary
Y,,聯和趁墟－社區深度遊。步行導賞團,05. 認識香港,luenwomarket.hk,,,,,【聯和趁墟－社區深度遊。步行導賞團】 @luenwomarket.hk | 30/12 | 
Y,,〈自由靈魂的煩惱〉系列電影放映會：《真人Show (Truman Show)》,07. 藝術野,cloudatlas_bahk,,6-9pm,上水,,【〈自由靈魂的煩惱〉系列電影放映會：《真人Show (Truman Show)》】 @cloudatlas_bahk | 30/12 | 上水
Y,,〈自由靈魂的煩惱〉系列電影放映會：《搏擊會 (Fight Club)》,07. 藝術野,cloudatlas_bahk,,6-9pm,上水,,【〈自由靈魂的煩惱〉系列電影放映會：《搏擊會 (Fight Club)》】 @cloudatlas_bahk | 30/12 | 上水
Y,Free,大坑西邨沉浸式探索導賞團：《大坑西邨的「連」與「結」》,05. 認識香港,cogito._hk,,,大坑西邨,Snapinsta.app_445881427_417033541102454_4563357379030737336_n_1024,【大坑西邨沉浸式探索導賞團：《大坑西邨的「連」與「結」》】 @cogito._hk | 30/12 | 大坑西邨
Y,Free,四分鐘辯手 (成人辯論班),17. 其他,4mins_debater,,,online,Snapinsta.app_437773724_17941459604803204_611183937251316190_n_1024,【四分鐘辯手 (成人辯論班)】 @4mins_debater | 30/12 | online
Y,Free,南亞文化研習小組：南亞宗教信仰,06. 留在香港 環遊世界,fredie.hung,24/6,,少數點文化,441359720_765321722403047_1708163004769856949_n,【南亞文化研習小組：南亞宗教信仰】 @fredie.hung | 24/6 | 少數點文化
Y,Free,【招募試坐員】一齊喺城市入面揾下可以坐喺邊？！,04. 香港人/社區/文化,livingkatung,"15, 21, 22/6",,油尖旺區,Snapinsta.app_447921650_1939918759744392_7399420214565081835_n_1080,"【【招募試坐員】一齊喺城市入面揾下可以坐喺邊？！】 @livingkatung | 15, 21, 22/6 | 油尖旺區"
Y,,薄鳧林牧場導賞,05. 認識香港,thepokfulamfarm,"7/6, 8/6, 9/6, 14/6, 15/6, 16/6, 21/6, 22/6, 23/6, 28/6, 29/6, 30/6",,薄鳧林牧場,Snapinsta.app_444485365_836738061821339_5626708753901044054_n_1024,"【薄鳧林牧場導賞】 @thepokfulamfarm | 7/6, 8/6, 9/6, 14/6, 15/6, 16/6, 21/6, 22/6, 23/6, 28/6, 29/6, 30/6 | 薄鳧林牧場"
Y,,作「飾」生活‧文創市集,16. 市集,dreamcatcher_market,"14-16/6, 21-23/6, 28/6-1/7",,Mira Place B1 Atrium,Snapinsta.app_428373621_877677144400603_4724541169378306835_n_1080,"【作「飾」生活‧文創市集】 @dreamcatcher_market | 14-16/6, 21-23/6, 28/6-1/7 | Mira Place B1 Atrium"
Y,,牛亭集序 — 牛之塗鴉,07. 藝術野,artempathy.hk,21-23/6,,亞洲國際博覽館 6號館 6H11,,【牛亭集序 — 牛之塗鴉】 @artempathy.hk | 21-23/6 | 亞洲國際博覽館 6號館 6H11
Y,,熔爐行為藝術坊2024——七月主題: [身體練習之源頭],07. 藝術野,performance_art_furnace_hk,21-27/7,,灣仔富德樓,,【熔爐行為藝術坊2024——七月主題: [身體練習之源頭]】 @performance_art_furnace_hk | 21-27/7 | 灣仔富德樓
Y,,藝術應用證書工作坊,07. 藝術野,sinceconceptstore,"28/5, 22/6",,SINCE Concept Store,,"【藝術應用證書工作坊】 @sinceconceptstore | 28/5, 22/6 | SINCE Concept Store"
Y,,電影評論寫作坊,07. 藝術野,as.if_literature,"25/5, 1/6, 22/6, 29/6",8pm,石門,,"【電影評論寫作坊】 @as.if_literature | 25/5, 1/6, 22/6, 29/6 | 石門"
Y,,手沖咖啡體驗班,17. 其他,mybook1hk,"12/6, 22/6, 11/7, 27/7",,afterword cafe,,"【手沖咖啡體驗班】 @mybook1hk | 12/6, 22/6, 11/7, 27/7 | afterword cafe"
Y,,【香港老舖記錄冊 x 悅和醬園】本地醬園導賞團,05. 認識香港,hongkonghistoricalshops,"1/6, 15/6, 22/6, 29/6",10am-12pm,上水古洞悅和醬園,,"【【香港老舖記錄冊 x 悅和醬園】本地醬園導賞團】 @hongkonghistoricalshops | 1/6, 15/6, 22/6, 29/6 | 上水古洞悅和醬園"
Y,,寧靜的舒寫 | 《心經》抄寫。熱茶,11. 身心靈,just_bookstore,"18, 25/5, 1, 8, 15, 22, 29/6",6:30-9:30pm,灣仔告士打道 169號 1樓,,"【寧靜的舒寫 | 《心經》抄寫。熱茶】 @just_bookstore | 18, 25/5, 1, 8, 15, 22, 29/6 | 灣仔告士打道 169號 1樓"
Y,,「雪櫃暖說話 - 打開家庭心底話」互動工作坊,10. 親子關係,bgcahk,"18/5, 25/5, 1/6, 8/6, 15/6, 22/6",,香港小童群益會總部1樓,,"【「雪櫃暖說話 - 打開家庭心底話」互動工作坊】 @bgcahk | 18/5, 25/5, 1/6, 8/6, 15/6, 22/6 | 香港小童群益會總部1樓"
Y,,常霖法師「自在生活禪」之〈周六共修聽故事,11. 身心靈,pause_breathe,"15/6, 22/6, 29/6",10-11:15am,online,,"【常霖法師「自在生活禪」之〈周六共修聽故事】 @pause_breathe | 15/6, 22/6, 29/6 | online"
Y,,Pride at Eaton 2024,09. 性別/關係,eaton.hk,"8/6, 9/6, 15/6, 16/6, 22/6, 23/6, 25/6, 29/6, 30/6, 5/7, 6/7, 7/7, 12/7, 13/7, 14/7, 20/7, 27/7",,Eaton HK,Snapinsta.app_447196868_18234783226256576_4396597230442161085_n_1080,"【Pride at Eaton 2024】 @eaton.hk | 8/6, 9/6, 15/6, 16/6, 22/6, 23/6, 25/6, 29/6, 30/6, 5/7, 6/7, 7/7, 12/7, 13/7, 14/7, 20/7, 27/7 | Eaton HK"
Y,,大澳靜心日,11. 身心靈,mindful_still_together,"9, 17, 22, 23, 29, 30/6, 13, 21, 22, 27, 28/7, 10, 11, 24, 25/8",11am-6pm,大澳禪中心,,"【大澳靜心日】 @mindful_still_together | 9, 17, 22, 23, 29, 30/6, 13, 21, 22, 27, 28/7, 10, 11, 24, 25/8 | 大澳禪中心"
Y,,Fountain Academy Showcase,15. 音樂,fountaindechopin,22/6,8pm,Fountain,,【Fountain Academy Showcase】 @fountaindechopin | 22/6 | Fountain
Y,,經濟學主題桌遊日：Tulip Bubble鬱金香泡沫,17. 其他,stonehousescafe,22/6,6:30-10pm,石屋家園,,【經濟學主題桌遊日：Tulip Bubble鬱金香泡沫】 @stonehousescafe | 22/6 | 石屋家園
Y,,《文又得武又得》文歌起武音樂會,15. 音樂,hk_pop_culture_festival,22/6,2:45pm,香港文化中心地下大堂,,【《文又得武又得》文歌起武音樂會】 @hk_pop_culture_festival | 22/6 | 香港文化中心地下大堂
Y,,《文又得武又得》武．影．「非」凡—葉問詠春,04. 香港人/社區/文化,hk_pop_culture_festival,22/6,4:30pm,香港文化中心地下大堂,,【《文又得武又得》武．影．「非」凡—葉問詠春】 @hk_pop_culture_festival | 22/6 | 香港文化中心地下大堂
Y,,四海之內：河豚子專場,17. 其他,tickcats,22/6,7pm,MOM Livehouse,,【四海之內：河豚子專場】 @tickcats | 22/6 | MOM Livehouse
Y,,老店及招牌速寫 及 招牌製作工作坊,04. 香港人/社區/文化,drawing.buddies.hk,22/6,1-5pm,新蒲崗,,【老店及招牌速寫 及 招牌製作工作坊】 @drawing.buddies.hk | 22/6 | 新蒲崗
Y,,九龍城寨深度遊——國語團,05. 認識香港,kowloon.city.walking.trail,22/6,11am-12:30pm,九龍城,,【九龍城寨深度遊——國語團】 @kowloon.city.walking.trail | 22/6 | 九龍城
Y,,神學對談講座系列 【現代人的靈性生活：第二講】,11. 身心靈,hk_cclc,22/6,10am-12pm,紅磡聖母堂,,【神學對談講座系列 【現代人的靈性生活：第二講】】 @hk_cclc | 22/6 | 紅磡聖母堂
Y,,6月讀戲劇場《下次月球見》,07. 藝術野,hkrep,22/6,2:45pm,香港大會堂,,【6月讀戲劇場《下次月球見》】 @hkrep | 22/6 | 香港大會堂
Y,,建造綠色工作坊 – 海浪肌理畫,07. 藝術野,cic.zcphk,22/6,2-4:30pm,建造業零碳天地,,【建造綠色工作坊 – 海浪肌理畫】 @cic.zcphk | 22/6 | 建造業零碳天地
Y,,頌缽實用入門,11. 身心靈,the.hanli,22/6,1:30-5:30pm,漢礼 - 灣仔,,【頌缽實用入門】 @the.hanli | 22/6 | 漢礼 - 灣仔
Y,,水墨悠遊體驗班----荔枝,07. 藝術野,the.hanli,22/6,4:30-6:30pm,漢礼 - 灣仔,,【水墨悠遊體驗班----荔枝】 @the.hanli | 22/6 | 漢礼 - 灣仔
Y,,軟陶瓷工作坊,12. 整下野,centralmarkethk,22/6,2:30-4:30pm,中環中心地下H6 CONET,,【軟陶瓷工作坊】 @centralmarkethk | 22/6 | 中環中心地下H6 CONET
Y,,攝影導賞團,05. 認識香港,centralmarkethk,22/6,2:30-5pm,中環,,【攝影導賞團】 @centralmarkethk | 22/6 | 中環
Y,,傾傾設計——老友記想要乜？,04. 香港人/社區/文化,urbanroom.social,22/6,3-4:30pm,英皇道1046號益昌大廈20號,,【傾傾設計——老友記想要乜？】 @urbanroom.social | 22/6 | 英皇道1046號益昌大廈20號
Y,,《逃避自由》分享會,01. 與書相遇,knockknockbookstore,22/6,6-8pm,knock knock 覺閣,,【《逃避自由》分享會】 @knockknockbookstore | 22/6 | knock knock 覺閣
Y,,「觸動」舞蹈體驗 @ M+,13. 運動下,mplusmuseum,22/6,3-4pm,M+,,【「觸動」舞蹈體驗 @ M+】 @mplusmuseum | 22/6 | M+
Y,,"Celebrating Our Humanity through Dance, Food, and Film",06. 留在香港 環遊世界,grassrootsfuture,22/6,4-7pm,Africa Center,,"【Celebrating Our Humanity through Dance, Food, and Film】 @grassrootsfuture | 22/6 | Africa Center"
Y,Free,讀書會「不勝人生一場醉：《笑傲江湖》故事真相探析」,01. 與書相遇,delis.ver,22/6,8:30pm,online,Snapinsta.app_447674748_883602360453298_4503198235868335385_n_1024,【讀書會「不勝人生一場醉：《笑傲江湖》故事真相探析」】 @delis.ver | 22/6 | online
Y,,看見與聽到。覺知、呼吸與震動,07. 藝術野,artandcultureoutreach,22/6,3-4:30pm,艺鵠藝術空間,,【看見與聽到。覺知、呼吸與震動】 @artandcultureoutreach | 22/6 | 艺鵠藝術空間
Y,,「我們相聚，不需言語」休息再出發 繪本《拾星星的人》研討小聚,01. 與書相遇,lifereading.vwlink,22/6,3-4:30pm,The Lighthouse光舍,,【「我們相聚，不需言語」休息再出發 繪本《拾星星的人》研討小聚】 @lifereading.vwlink | 22/6 | The Lighthouse光舍
Y,,「談談情 . 跳跳舞 : 融與茁」工作坊,11. 身心靈,eatahk,22/6,7-9pm,香港神託會靈基營,,【「談談情 . 跳跳舞 : 融與茁」工作坊】 @eatahk | 22/6 | 香港神託會靈基營
Y,,也門：阿拉伯「樂土」的當代悲歌,06. 留在香港 環遊世界,travellercommons,22/6,5-6pm,誠品尖沙咀,,【也門：阿拉伯「樂土」的當代悲歌】 @travellercommons | 22/6 | 誠品尖沙咀
Y,,淺談筆跡興趣工作坊,07. 藝術野,trace.of.words,22/6,11:30am-1pm / 2-3:30pm,618 上海街,,【淺談筆跡興趣工作坊】 @trace.of.words | 22/6 | 618 上海街
Y,Free,Culture & Corks Vol.16:建築保育心理學,04. 香港人/社區/文化,kongcept852,22/6,3-4:30pm,壹合// 上環皇后大道西壹號,Snapinsta.app_448306302_1115367446188839_6394578502562863623_n_1024,【Culture & Corks Vol.16:建築保育心理學】 @kongcept852 | 22/6 | 壹合// 上環皇后大道西壹號
Y,,【村里故事－鄉郊、故事、復育⋯然之後？ 】故事整理室,04. 香港人/社區/文化,ruralcommon.hk,22/6,11:30am-6:30pm,The Future Workshop,,【【村里故事－鄉郊、故事、復育⋯然之後？ 】故事整理室】 @ruralcommon.hk | 22/6 | The Future Workshop
Y,,【村里故事－鄉郊、故事、復育⋯然之後？ 】成果分享會,04. 香港人/社區/文化,ruralcommon.hk,22/6,2:30-4:30pm,The Future Workshop,,【【村里故事－鄉郊、故事、復育⋯然之後？ 】成果分享會】 @ruralcommon.hk | 22/6 | The Future Workshop
Y,Free,竹編技藝工作坊,12. 整下野,readingisjoyful,22/6,10:30am-1pm / 2:30-5pm,黃竹坑香葉道41號10樓,Snapinsta.app_447962386_759398509697069_26923568056770404_n_1024,【竹編技藝工作坊】 @readingisjoyful | 22/6 | 黃竹坑香葉道41號10樓
Y,,閱讀沙龍Vol.11——李琴峰《倒數五秒月牙》,01. 與書相遇,abc.abookclub,22/6,2:30-4:30pm,閱讀俱樂部,,【閱讀沙龍Vol.11——李琴峰《倒數五秒月牙》】 @abc.abookclub | 22/6 | 閱讀俱樂部
Y,,湯米酋長作品分享會,07. 藝術野,tommychief_oil,22/6,5:30-7pm,Oasis Cafe,,【湯米酋長作品分享會】 @tommychief_oil | 22/6 | Oasis Cafe
Y,,「城市文學散步」#6——天橋上看風的形狀,05. 認識香港,diaspora_explorer,22/6,7-10pm,維多利亞公園噴水池,,【「城市文學散步」#6——天橋上看風的形狀】 @diaspora_explorer | 22/6 | 維多利亞公園噴水池
Y,,樹脂酒樽設計工作坊,12. 整下野,chiu_club,22/6,2-5pm,九龍長沙灣光昌街3號鴻昌大廈4樓D1,,【樹脂酒樽設計工作坊】 @chiu_club | 22/6 | 九龍長沙灣光昌街3號鴻昌大廈4樓D1
Y,,甲骨文噴噴畫畫工作坊,07. 藝術野,warehouseteenageclub,22/6,2/3/4pm,香港歷史博物館一樓戶外庭園,,【甲骨文噴噴畫畫工作坊】 @warehouseteenageclub | 22/6 | 香港歷史博物館一樓戶外庭園
Y,,〈藉着閱讀展開對話〉工作坊,01. 與書相遇,knockknockbookstore,22/6,10:30am-1pm,knock knock 覺閣,,【〈藉着閱讀展開對話〉工作坊】 @knockknockbookstore | 22/6 | knock knock 覺閣
Y,,遺書導讀工作坊,11. 身心靈,hkfilmcritics.society,22/6,2-4pm,電影文化中心,,【遺書導讀工作坊】 @hkfilmcritics.society | 22/6 | 電影文化中心
Y,Free,大澳漁民生活文化展 — 大澳傳統魚網編織技巧工作坊,04. 香港人/社區/文化,ourlantau,22/6,3:30-4:30pm,東涌社區聯絡中心,Snapinsta.app_447678062_942958947841720_4144979156080856367_n_1080,【大澳漁民生活文化展 — 大澳傳統魚網編織技巧工作坊】 @ourlantau | 22/6 | 東涌社區聯絡中心
Y,,《電影後電影》新書發佈,01. 與書相遇,floatingprojects,22/6,3pm,賽馬會創意藝術中心,,【《電影後電影》新書發佈】 @floatingprojects | 22/6 | 賽馬會創意藝術中心
Y,,沈西城《舊夢迷濛》新書發佈會,01. 與書相遇,book.punch,22/6,2-3:30pm,一拳書館,,【沈西城《舊夢迷濛》新書發佈會】 @book.punch | 22/6 | 一拳書館
Y,,In House Full Moon Gathering,08. 環保與大自然,fashionjunglehk,22/6,7:30pm,大嶼山貝澳”Life On Base”,,【In House Full Moon Gathering】 @fashionjunglehk | 22/6 | 大嶼山貝澳”Life On Base”
Y,,品茶體驗工作坊,04. 香港人/社區/文化,neighbor_outdoor,22/6,2-4pm,土瓜灣,,【品茶體驗工作坊】 @neighbor_outdoor | 22/6 | 土瓜灣
Y,,純真地平線和哀傷漥穴,07. 藝術野,artandcultureoutreach,22/6,8-9pm,艺鵠書店,,【純真地平線和哀傷漥穴】 @artandcultureoutreach | 22/6 | 艺鵠書店
Y,,人人有灘淨,08. 環保與大自然,hk.sea,22/6,1-4:30pm,小棕林,,【人人有灘淨】 @hk.sea | 22/6 | 小棕林
Y,,法師分享活動——佛法與生活、義工的應用,11. 身心靈,buddhist.connected.hk,22/6,8-10pm,online,,【法師分享活動——佛法與生活、義工的應用】 @buddhist.connected.hk | 22/6 | online
Y,,讀書分享會——被遺忘的香港故事 - 南涌講古,01. 與書相遇,sai1do1,22/6,5-7pm,神話書店,,【讀書分享會——被遺忘的香港故事 - 南涌講古】 @sai1do1 | 22/6 | 神話書店
Y,,2024香港MEMBER交友攻略,09. 性別/關係,prideline22175959,22/6,7:30-9:30pm,Pride Land同．心匯,,【2024香港MEMBER交友攻略】 @prideline22175959 | 22/6 | Pride Land同．心匯
Y,,RUN TO BEER,13. 運動下,hiketoclean,22/6,8pm-12am,長沙灣/太子,,【RUN TO BEER】 @hiketoclean | 22/6 | 長沙灣/太子
Y,,編織工作坊,12. 整下野,akisilentmoment,22/6,2:30-5pm,the DOOORs art space,,【編織工作坊】 @akisilentmoment | 22/6 | the DOOORs art space
Y,,天水圍前世今生,05. 認識香港,tswnw2cgo,22/6,2-7pm,天水圍、輞井圍、豐樂圍,,【天水圍前世今生】 @tswnw2cgo | 22/6 | 天水圍、輞井圍、豐樂圍
Y,,夕拾分享會：舊物傳承,04. 香港人/社區/文化,designspectrum.hk,22/6,2-4pm,荔枝角長義街9號 D2 Place 一期7樓A室,,【夕拾分享會：舊物傳承】 @designspectrum.hk | 22/6 | 荔枝角長義街9號 D2 Place 一期7樓A室
Y,,群象圍爐：「拍拖」研討會,09. 性別/關係,alephants.sgcg,22/6,2:30-5:30pm,觀塘區,,【群象圍爐：「拍拖」研討會】 @alephants.sgcg | 22/6 | 觀塘區
Y,,Music of the Week - JoJo & Entonie 2300-0100 @_jojo_liheiyiu @entoniekwong,15. 音樂,barrelbarnrestaurant,22/6,11pm-1am,Barrel Bar & Restaurant,,【Music of the Week - JoJo & Entonie 2300-0100 @_jojo_liheiyiu @entoniekwong】 @barrelbarnrestaurant | 22/6 | Barrel Bar & Restaurant
Y,,Jazz Artist Focus: Alan Kwan x Bowen Li,15. 音樂,kindofbrewhk,22/6,8pm,Kind of Brew,,【Jazz Artist Focus: Alan Kwan x Bowen Li】 @kindofbrewhk | 22/6 | Kind of Brew
Y,Free,線下辯論活動：「愛情」,04. 香港人/社區/文化,contrast_hk,22/6,7-9pm,長沙灣福榮街512-518號地下Contrast,Snapinsta.app_448451074_438518989060922_8960863635758438117_n_1080,【線下辯論活動：「愛情」】 @contrast_hk | 22/6 | 長沙灣福榮街512-518號地下Contrast
Y,,香港咖啡種植與咖啡渣驅蚊香工作坊,08. 環保與大自然,seedtocuphk,22/6,10am-12:15pm,粉嶺 丹竹坑 新屋仔 OFARM PLUS,,【香港咖啡種植與咖啡渣驅蚊香工作坊】 @seedtocuphk | 22/6 | 粉嶺 丹竹坑 新屋仔 OFARM PLUS
Y,,LUMOS Live Music Show - Stella,15. 音樂,lumos.restaurantandbar,22/6,7:30-10:30pm,LUMOS Restaurant and Bar,,【LUMOS Live Music Show - Stella】 @lumos.restaurantandbar | 22/6 | LUMOS Restaurant and Bar
Y,Free,同你讀：雙身 （by 董啟章）,01. 與書相遇,nomad_reading_group,22/6,5-6:30pm,online,Snapinsta.app_448455052_17961083633784141_2586265524722301619_n_1080,【同你讀：雙身 （by 董啟章）】 @nomad_reading_group | 22/6 | online
Y,,Walk & Talk - Localising the Modern : A Walking Tour of Buildings by Hong Kong's Modern Architects,05. 認識香港,docomomo.hk,22/6,2:30-6pm,Stanley and Wanchai,,【Walk & Talk - Localising the Modern : A Walking Tour of Buildings by Hong Kong's Modern Architects】 @docomomo.hk | 22/6 | Stanley and Wanchai
Y,,威士忌酒館,01. 與書相遇,windowandalley,22/6,7-11pm,窗後巷 Window And Alley,,【威士忌酒館】 @windowandalley | 22/6 | 窗後巷 Window And Alley
Y,,「夏商周青銅紋飾版畫」藝術工作坊,07. 藝術野,warehouseteenageclub,22/6,2-5pm,香港歷史博物館,,【「夏商周青銅紋飾版畫」藝術工作坊】 @warehouseteenageclub | 22/6 | 香港歷史博物館
Y,Free,「情緒GPS - 管理好情緒：如何助人及自助」講座,11. 身心靈,sjc_life_enrichment_centre,22/6,2:30-4pm,聖約翰座堂,Snapinsta.app_445693407_18439509370048570_4646073054434984747_n_1080,【「情緒GPS - 管理好情緒：如何助人及自助」講座】 @sjc_life_enrichment_centre | 22/6 | 聖約翰座堂
Y,Free,講座——西伯利亞攝遊記,06. 留在香港 環遊世界,hkspacem,22/6,3-4:30pm,香港太空館演講廳,Snapinsta.app_444486111_872047964961745_5043142391848538361_n_1024,【講座——西伯利亞攝遊記】 @hkspacem | 22/6 | 香港太空館演講廳
Y,Free,七千年來的普通人：前殖民時代香港,01. 與書相遇,ancient_hk_stories,22/6,3:30-4:30pm,誠品銅鑼灣,Snapinsta.app_448706102_1905502423217208_8891493562441444007_n_1080,【七千年來的普通人：前殖民時代香港】 @ancient_hk_stories | 22/6 | 誠品銅鑼灣
Y,,6月農夫開檔日,16. 市集,good_old_soil,"22, 23, 29, 30/6",11am-4pm,梅窩鄉事委員會路33號地下「好老土」,,"【6月農夫開檔日】 @good_old_soil | 22, 23, 29, 30/6 | 梅窩鄉事委員會路33號地下「好老土」"
